State,Total Population in 2000,Total Population in 2001,Total Population in 2002,Total Population in 2003,Total Population in 2004,Total Population in 2005,Total Population in 2006,Total Population in 2007,Total Population in 2008,Total Population in 2009,Total Population in 2010,SNAP Participants in 2000,SNAP Participants in 2001,SNAP Participants in 2002,SNAP Participants in 2003,SNAP Participants in 2004,SNAP Participants in 2005,SNAP Participants in 2006,SNAP Participants in 2007,SNAP Participants in 2008,SNAP Participants in 2009,SNAP Participants in 2010,Annual Funding in 2000,Annual Funding in 2001,Annual Funding in 2002,Annual Funding in 2003,Annual Funding in 2004,Annual Funding in 2005,Annual Funding in 2006,Annual Funding in 2007,Annual Funding in 2008,Annual Funding in 2009,Annual Funding in 2010,Population in Poverty in 2000,Population in Poverty in 2006,Population in Poverty in 2007,Population in Poverty in 2010
AL,4447100.0,4464034.0,4472420.0,4490591.0,4512190.0,4545049.0,4597688.0,4637904.0,4677464.0,4708708.0,4785298.0,405325.0,435235.0,463998.0,491910.0,524895.0,542497.0,543920.0,545955.0,571591.0,679138.0,805095.0,348007.0,374806.0,424734.0,475666.0,552949.0,610908.0,581678.0,601413.135,663901.057,970949.096,1226018.708,637119.0,743556.0,750197.0,883078.0
AK,626932.0,633316.0,642691.0,650884.0,661569.0,669488.0,677325.0,682297.0,688125.0,698473.0,713985.0,29473.0,38909.0,43863.0,43794.0,49924.0,51000.0,50122.0,56181.0,56977.0,64385.0,76445.0,45801.0,48019.0,60330.0,61470.0,70646.0,81477.0,85827.0,86084.132,94262.437,129624.461,159413.978,52442.0,71120.0,65266.0,76850.0
AZ,5130632.0,5304417.0,5452108.0,5591206.0,5759425.0,5974834.0,6192100.0,6362241.0,6499377.0,6595778.0,6413737.0,277436.0,355735.0,442945.0,522009.0,546371.0,546411.0,537075.0,544688.0,627660.0,813987.0,1018171.0,245890.0,299331.0,404392.0,523994.0,592602.0,634114.0,622849.0,646750.299,772440.411,1223845.635,1587702.249,646762.0,860355.0,876120.0,1105075.0
AR,2673400.0,2691068.0,2704732.0,2722291.0,2746161.0,2776221.0,2815097.0,2842194.0,2867764.0,2889450.0,2921606.0,251901.0,277277.0,303177.0,336668.0,368272.0,381409.0,381606.0,379768.0,377883.0,411153.0,466598.0,208633.0,231684.0,270245.0,312205.0,362116.0,408080.0,411510.0,412445.881,431547.807,569987.431,686400.617,394960.0,471161.0,483510.0,529710.0
CA,33871648.0,34485623.0,34876194.0,35251107.0,35558419.0,35795255.0,35979208.0,36226122.0,36580371.0,36961664.0,37349363.0,1690077.0,1699342.0,1689369.0,1807695.0,1978075.0,2002960.0,2032366.0,2048185.0,2220127.0,2670341.0,3238548.0,1611956.0,1606305.0,1707234.0,1832305.0,2080685.0,2328572.0,2401037.0,2569814.59,2995179.522,4382007.874,5694137.282,4304909.0,4686706.0,4445392.0,5785036.0
CO,4301261.0,4433068.0,4504265.0,4548775.0,4599681.0,4660780.0,4753044.0,4842259.0,4935213.0,5024748.0,5049071.0,152198.0,171983.0,198401.0,236350.0,245314.0,253007.0,252443.0,250704.0,252933.0,319121.0,404679.0,124813.0,136674.0,170875.0,214610.0,266325.0,320652.0,317684.0,310583.982,325104.191,502657.149,687709.379,384830.0,539332.0,548520.0,651744.0
CT,3405565.0,3428433.0,3448382.0,3467673.0,3474610.0,3477416.0,3485162.0,3488633.0,3502932.0,3518288.0,3577073.0,157935.0,164793.0,177267.0,192577.0,202403.0,209230.0,211298.0,212562.0,225383.0,258165.0,336064.0,135803.0,137083.0,147910.0,172016.0,204302.0,226099.0,242616.0,253062.794,284829.257,417158.566,569684.382,243428.0,281079.0,269045.0,348881.0
DE,783600.0,794620.0,804131.0,814905.0,826639.0,839906.0,853022.0,864896.0,876211.0,885122.0,899769.0,31121.0,37264.0,44427.0,53107.0,60163.0,65166.0,66247.0,67185.0,74429.0,90933.0,112513.0,30921.0,32868.0,40833.0,49822.0,58544.0,66395.0,70629.0,74729.045,86180.751,129098.106,171155.272,67374.0,88749.0,86653.0,104456.0
DC,572059.0,578042.0,579585.0,577777.0,579796.0,582049.0,583978.0,586409.0,590074.0,599657.0,604453.0,74711.0,73800.0,79029.0,85441.0,88321.0,89345.0,87027.0,86519.0,89442.0,103311.0,118493.0,74875.0,70862.0,77074.0,95185.0,96825.0,103043.0,103219.0,103950.879,112324.8,159506.975,195893.308,91435.0,99671.0,95441.0,107279.0
FL,15982378.0,16353869.0,16680309.0,16981183.0,17375259.0,17783868.0,18088505.0,18277888.0,18423878.0,18537969.0,18843326.0,874989.0,963846.0,1033097.0,1140247.0,1279838.0,1260934.0,1215709.0,1232803.0,1454928.0,1952362.0,2603185.0,771170.0,787061.0,891003.0,1035595.0,1495098.0,1757588.0,1345339.0,1400153.858,1778641.937,2968374.682,4416942.533,1877399.0,2232534.0,2167111.0,3048621.0
GA,8186453.0,8419594.0,8585535.0,8735259.0,8913676.0,9097428.0,9330086.0,9533761.0,9697838.0,9829211.0,9712587.0,562715.0,625469.0,715606.0,847886.0,908073.0,932355.0,947057.0,950038.0,1021155.0,1286078.0,1591078.0,489392.0,534064.0,647580.0,820180.0,954654.0,1066457.0,1095010.0,1125954.322,1276750.098,1943839.554,2565169.527,1006329.0,1340255.0,1329161.0,1698004.0
HI,1211537.0,1218305.0,1228069.0,1239298.0,1252782.0,1266117.0,1275599.0,1276832.0,1287481.0,1295178.0,1363621.0,108501.0,101590.0,96609.0,94695.0,93601.0,86467.0,87720.0,89629.0,96551.0,114599.0,138166.0,161765.0,148837.0,152069.0,155585.0,153456.0,154326.0,148414.0,156542.027,184612.461,273683.509,358144.853,118357.0,117811.0,106232.0,146923.0
ID,1293953.0,1321170.0,1342149.0,1364109.0,1391718.0,1425862.0,1464413.0,1499245.0,1527506.0,1545801.0,1571450.0,58781.0,67096.0,78336.0,89904.0,93195.0,92149.0,87104.0,87068.0,100198.0,136243.0,194033.0,46519.0,49662.0,64219.0,79961.0,94623.0,102691.0,98750.0,95992.768,116567.714,200937.001,299552.014,145043.0,182933.0,177830.0,244009.0
IL,12419293.0,12507833.0,12558229.0,12597981.0,12645295.0,12674452.0,12718011.0,12779417.0,12842954.0,12910409.0,12843166.0,820612.0,869756.0,931820.0,1039531.0,1137015.0,1215483.0,1239953.0,1246400.0,1299443.0,1462421.0,1645722.0,783272.0,831506.0,941292.0,1087674.0,1258034.0,1423679.0,1516165.0,1565198.255,1718280.001,2322771.336,2784473.892,1227886.0,1536133.0,1496152.0,1732129.0
IN,6080485.0,6124967.0,6149007.0,6181789.0,6214454.0,6253120.0,6301700.0,6346113.0,6388309.0,6423113.0,6490621.0,331277.0,395959.0,452647.0,516360.0,550416.0,570627.0,582972.0,587156.0,623415.0,706695.0,813403.0,275549.0,336108.0,419016.0,500284.0,568602.0,633123.0,650655.0,677097.583,772883.186,1071248.747,1291225.153,529323.0,768642.0,755245.0,960402.0
IA,2926324.0,2929424.0,2929264.0,2932799.0,2941358.0,2949450.0,2964391.0,2978719.0,2993987.0,3007856.0,3049883.0,124475.0,137590.0,149994.0,170484.0,201454.0,221460.0,235445.0,238349.0,258173.0,295106.0,340304.0,100634.0,111364.0,132121.0,152786.0,187118.0,225329.0,249338.0,265450.404,305655.259,419857.396,526119.31,237684.0,315973.0,316303.0,368965.0
KS,2688418.0,2701456.0,2712598.0,2721955.0,2730765.0,2741771.0,2755700.0,2775586.0,2797375.0,2818747.0,2859169.0,122290.0,134957.0,156177.0,168094.0,175844.0,182539.0,182010.0,182407.0,187569.0,219265.0,269710.0,84663.0,95122.0,118204.0,145298.0,163261.0,181979.0,189308.0,192850.959,211265.341,301563.664,402630.483,235087.0,327103.0,301826.0,374677.0
KY,4041769.0,4069191.0,4091330.0,4118627.0,4147970.0,4182293.0,4219374.0,4256278.0,4287931.0,4314113.0,4346266.0,408736.0,438053.0,488252.0,537087.0,564398.0,586573.0,596494.0,602022.0,633194.0,701757.0,778114.0,336709.0,360489.0,421321.0,501081.0,559661.0,618917.0,651709.0,674261.809,742037.605,1002094.47,1186291.238,550332.0,694866.0,706947.0,796208.0
LA,4468976.0,4460816.0,4466068.0,4474726.0,4489327.0,4497691.0,4240327.0,4376122.0,4451513.0,4492076.0,4544228.0,508523.0,570007.0,633758.0,692650.0,731916.0,703243.0,644661.0,650357.0,790733.0,723738.0,825918.0,448212.0,505570.0,614754.0,689031.0,778586.0,1293977.0,730017.0,746127.346,1025182.241,1119136.582,1286198.597,753254.0,808319.0,783922.0,831512.0
ME,1274923.0,1284791.0,1293938.0,1303102.0,1308253.0,1311631.0,1314963.0,1317308.0,1319691.0,1318301.0,1327567.0,102723.0,109494.0,126155.0,141408.0,148800.0,159668.0,161689.0,162602.0,173039.0,201248.0,229731.0,81093.0,88838.0,101185.0,128473.0,144839.0,164227.0,169209.0,170581.745,196264.502,292704.585,356097.335,124727.0,163293.0,155764.0,169076.0
MD,5296486.0,5375033.0,5439913.0,5496708.0,5542659.0,5582520.0,5612196.0,5634242.0,5658655.0,5699478.0,5785982.0,208690.0,222348.0,245931.0,268197.0,284753.0,302542.0,311622.0,317825.0,359985.0,454196.0,560848.0,195589.0,194331.0,220491.0,266393.0,294240.0,323713.0,339072.0,357244.132,432043.737,668682.585,877975.713,416005.0,436978.0,455601.0,559937.0
MA,6349097.0,6411730.0,6440978.0,6451637.0,6451279.0,6453031.0,6466399.0,6499275.0,6543595.0,6593587.0,6557254.0,219869.0,234506.0,275985.0,326564.0,355432.0,420557.0,449513.0,456192.0,505782.0,627611.0,749121.0,176208.0,179708.0,213411.0,267098.0,317369.0,376116.0,430705.0,471901.175,586587.498,925603.583,1165907.744,529417.0,623775.0,621561.0,724845.0
MI,9938444.0,10006093.0,10038767.0,10066351.0,10089305.0,10090554.0,10082438.0,10050847.0,10002486.0,9969727.0,9877574.0,623983.0,726372.0,808996.0,915969.0,1025496.0,1111742.0,1192146.0,1204409.0,1256373.0,1450272.0,1776368.0,455531.0,536254.0,658188.0,812632.0,944325.0,1121739.0,1275331.0,1367629.622,1506032.208,2106871.076,2808763.231,951435.0,1328888.0,1370287.0,1614110.0
MN,4919479.0,4982813.0,5017458.0,5047862.0,5079344.0,5106560.0,5148346.0,5191206.0,5230567.0,5266214.0,5310584.0,195193.0,212361.0,230000.0,244714.0,257380.0,263291.0,271409.0,276414.0,293928.0,344993.0,430346.0,164715.0,177399.0,204007.0,231679.0,256187.0,276046.0,284033.0,296387.269,329569.307,472689.944,624886.794,336594.0,487044.0,481330.0,595485.0
MS,2844658.0,2853313.0,2858643.0,2867678.0,2886006.0,2900116.0,2897150.0,2921723.0,2940212.0,2951996.0,2970036.0,290342.0,320117.0,345787.0,372878.0,382279.0,411283.0,419860.0,426116.0,447181.0,505920.0,575674.0,230806.0,264275.0,302202.0,342143.0,370382.0,562895.0,422017.0,443797.523,496847.694,691067.947,846542.922,489775.0,588288.0,583360.0,644156.0
MO,5595211.0,5643986.0,5680852.0,5714847.0,5758444.0,5806639.0,5861572.0,5909824.0,5956335.0,5987580.0,5996231.0,444479.0,501541.0,561124.0,678902.0,754376.0,789253.0,815904.0,671397.0,701304.0,800909.0,901349.0,364159.0,413251.0,484498.0,594590.0,683258.0,735856.0,746049.0,760649.0,856323.0,1215577.0,1361300.993,581207.0,783101.0,758844.0,888471.0
MT,902195.0,905873.0,909868.0,916750.0,925887.0,934801.0,946230.0,957225.0,968035.0,974989.0,990898.0,61050.0,63777.0,68780.0,76533.0,80201.0,81653.0,80320.0,79969.0,80407.0,92453.0,113570.0,51706.0,54394.0,59107.0,72055.0,81668.0,89516.0,89613.0,89698.694,94225.21,134564.381,176546.027,117677.0,132537.0,131433.0,146257.0
NE,1711263.0,1717948.0,1725083.0,1733680.0,1742184.0,1751721.0,1760435.0,1769912.0,1781949.0,1796619.0,1830429.0,80013.0,85790.0,96043.0,111293.0,116664.0,119243.0,120453.0,120634.0,120809.0,133623.0,162817.0,60360.0,64682.0,76431.0,94409.0,111773.0,119924.0,125195.0,126459.764,140752.738,179068.04,237577.18,148821.0,194595.0,190463.0,224530.0
NV,1998257.0,2094509.0,2166214.0,2236949.0,2328703.0,2408804.0,2493405.0,2567752.0,2615772.0,2643085.0,2704642.0,65516.0,91216.0,106966.0,119750.0,122042.0,118370.0,119596.0,122224.0,144494.0,200056.0,278105.0,58249.0,71417.0,99818.0,114360.0,122524.0,127974.0,124663.0,133739.897,169714.444,285773.577,414596.369,194787.0,257828.0,267829.0,393605.0
NH,1235786.0,1256879.0,1271163.0,1281871.0,1292766.0,1301415.0,1311894.0,1317343.0,1321872.0,1324575.0,1316759.0,35240.0,39805.0,43858.0,47314.0,51484.0,55404.0,58382.0,59101.0,63583.0,78942.0,104375.0,27787.0,29161.0,35522.0,40570.0,45161.0,52091.0,58907.0,62477.686,71404.026,115948.72,151813.784,69857.0,101872.0,93005.0,110096.0
NJ,8414350.0,8489469.0,8544115.0,8583481.0,8611530.0,8621837.0,8623721.0,8636043.0,8663398.0,8707739.0,8801624.0,321083.0,317587.0,331079.0,361659.0,387843.0,403687.0,410795.0,414503.0,437860.0,499853.0,622022.0,299122.0,295282.0,314376.0,347536.0,392889.0,442233.0,460795.0,483425.319,532944.902,750159.374,1030292.837,647694.0,740721.0,725723.0,883643.0
NM,1819046.0,1828809.0,1850035.0,1869683.0,1891829.0,1916538.0,1942608.0,1968731.0,1986763.0,2009671.0,2065932.0,164321.0,166850.0,188916.0,214748.0,238494.0,244477.0,236806.0,233918.0,239959.0,291073.0,356822.0,138844.0,138388.0,159128.0,190102.0,227925.0,252587.0,251497.0,248844.87,269188.961,410844.85,541806.403,309103.0,350120.0,344060.0,400779.0
NY,18976457.0,19088978.0,19161873.0,19231101.0,19297933.0,19330891.0,19356564.0,19422777.0,19467789.0,19541453.0,19392283.0,1375684.0,1335058.0,1404743.0,1554923.0,1731880.0,1777741.0,1794554.0,1801984.0,1952991.0,2322742.0,2757836.0,1346039.0,1386994.0,1496182.0,1725115.0,1940223.0,2158466.0,2261152.0,2324294.916,2572842.848,3955033.246,4984900.302,2466704.0,2670773.0,2584756.0,2840564.0
NC,8049313.0,8203451.0,8316617.0,8416451.0,8531283.0,8669452.0,8866977.0,9064074.0,9247134.0,9380884.0,9561558.0,482471.0,555598.0,624327.0,714506.0,786466.0,842379.0,874426.0,882946.0,946978.0,1137294.0,1346495.0,390318.0,448916.0,555446.0,677013.0,777776.0,867928.0,932739.0,972290.89,1104399.962,1625497.467,2072127.398,934374.0,1256624.0,1256867.0,1618597.0
ND,642200.0,636267.0,633617.0,632809.0,636303.0,635365.0,636771.0,638202.0,641421.0,646844.0,674499.0,35934.0,37188.0,38880.0,41231.0,41947.0,42502.0,43975.0,45122.0,48412.0,53070.0,59888.0,25652.0,27853.0,32173.0,37750.0,41159.0,45315.0,46900.0,51891.08,59266.579,79564.871,95014.675,64809.0,71059.0,72242.0,81176.0
OH,11353140.0,11396874.0,11420981.0,11445180.0,11464593.0,11475262.0,11492495.0,11520815.0,11528072.0,11542645.0,11536182.0,625959.0,710357.0,823119.0,926868.0,992508.0,1046157.0,1072364.0,1076764.0,1150928.0,1357412.0,1607422.0,528184.0,601889.0,749758.0,912512.0,1045986.0,1178472.0,1273911.0,1292695.103,1494661.229,2167118.474,2733689.66,1088381.0,1475788.0,1458625.0,1771404.0
OK,3450654.0,3464729.0,3484754.0,3498687.0,3514449.0,3532769.0,3574334.0,3612186.0,3644025.0,3687050.0,3761702.0,255325.0,294128.0,366487.0,406786.0,421662.0,434711.0,424620.0,421316.0,419038.0,472908.0,582492.0,208833.0,243466.0,305092.0,373562.0,409045.0,445856.0,464095.0,458907.034,491362.648,666446.549,899655.548,467081.0,576689.0,552915.0,613067.0
OR,3421399.0,3470382.0,3517111.0,3550180.0,3573505.0,3617869.0,3677545.0,3732957.0,3782991.0,3825657.0,3838957.0,262839.0,344903.0,388141.0,415857.0,427475.0,433310.0,436328.0,438498.0,469315.0,581025.0,705035.0,206222.0,257485.0,329031.0,391333.0,426586.0,457706.0,463822.0,477442.08,542197.277,831153.11,1066932.095,361280.0,487358.0,476647.0,596649.0
PA,12281054.0,12299533.0,12326302.0,12357524.0,12388368.0,12418161.0,12471142.0,12522531.0,12566368.0,12604767.0,12709630.0,751008.0,761419.0,795450.0,930851.0,1026142.0,1083477.0,1121802.0,1135146.0,1187822.0,1337803.0,1574783.0,648922.0,650874.0,705279.0,822531.0,971566.0,1124479.0,1195965.0,1258604.269,1386964.117,1900787.569,2332575.204,1135928.0,1442858.0,1392872.0,1645097.0
RI,1048319.0,1058051.0,1066034.0,1071504.0,1071414.0,1064989.0,1060196.0,1055009.0,1053502.0,1053209.0,1052886.0,71712.0,71816.0,72948.0,77197.0,76928.0,73320.0,74938.0,76315.0,84868.0,102303.0,138966.0,58545.0,59926.0,64229.0,70196.0,74993.0,78757.0,82483.0,89354.659,107719.391,170463.595,237618.372,106378.0,117585.0,121172.0,143132.0
SC,4012012.0,4062701.0,4103934.0,4146474.0,4201306.0,4256199.0,4339399.0,4424232.0,4503280.0,4561242.0,4636312.0,304970.0,364007.0,431150.0,488281.0,515775.0,532007.0,541109.0,545293.0,589763.0,687508.0,797110.0,240102.0,284408.0,368223.0,459367.0,516425.0,573233.0,594788.0,618164.263,706792.219,1001691.847,1256298.352,504961.0,657405.0,646061.0,813939.0
SD,754844.0,758983.0,762107.0,766975.0,774283.0,780084.0,788519.0,797035.0,804532.0,812383.0,816463.0,44045.0,46896.0,50171.0,53052.0,55276.0,58160.0,59546.0,60246.0,62945.0,73981.0,95336.0,37149.0,40490.0,45961.0,51433.0,55358.0,62545.0,66825.0,70614.077,78001.007,111278.093,153075.454,84282.0,102589.0,101420.0,114798.0
TN,5689283.0,5755443.0,5803306.0,5856522.0,5916762.0,5995748.0,6089453.0,6172862.0,6240456.0,6296254.0,6356897.0,510464.0,576644.0,692237.0,791908.0,841080.0,870198.0,861979.0,864870.0,911253.0,1072055.0,1224023.0,421548.0,470864.0,575885.0,748228.0,844063.0,954534.0,974952.0,1003609.007,1114791.337,1603675.536,1966107.581,709555.0,947105.0,945263.0,1102643.0
TX,20851820.0,21332847.0,21710788.0,22057801.0,22418319.0,22801920.0,23369024.0,23837701.0,24304290.0,24782302.0,25257114.0,1338268.0,1500923.0,1755362.0,2190003.0,2405046.0,2467599.0,2410814.0,2422198.0,2532047.0,3003156.0,3551581.0,1216951.0,1315676.0,1568034.0,1986239.0,2402574.0,2806848.0,2778715.0,2718158.343,3068232.722,4399125.072,5447397.414,3041115.0,3862741.0,3787071.0,4411273.0
UT,2233169.0,2291250.0,2334473.0,2379938.0,2438915.0,2499637.0,2583724.0,2663796.0,2727343.0,2784572.0,2776469.0,79795.0,86724.0,101241.0,119761.0,131152.0,133812.0,125338.0,123475.0,134180.0,185282.0,247405.0,67989.0,68206.0,82948.0,107296.0,127732.0,142044.0,138677.0,133204.438,150960.595,263258.195,366903.456,198434.0,269611.0,254385.0,362689.0
VT,608827.0,612153.0,614950.0,616559.0,618145.0,618814.0,619985.0,620460.0,621049.0,621760.0,625960.0,39070.0,39632.0,40924.0,42233.0,44791.0,49299.0,51856.0,52612.0,55847.0,72125.0,85538.0,31404.0,31770.0,34444.0,38248.0,41351.0,45634.0,51544.0,55659.902,62169.303,99238.17,124311.833,53236.0,61694.0,60609.0,74720.0
VA,7078515.0,7191304.0,7283541.0,7373694.0,7468914.0,7563887.0,7646996.0,7719749.0,7795424.0,7882590.0,8024617.0,331054.0,346140.0,378247.0,438120.0,482375.0,503861.0,511637.0,515032.0,545079.0,651725.0,786157.0,261449.0,270404.0,311882.0,424408.0,447812.0,506819.0,531536.0,551446.24,610021.737,922879.649,1213496.417,620938.0,713181.0,739135.0,865746.0
WA,5894121.0,5987785.0,6056187.0,6113262.0,6184289.0,6261282.0,6372243.0,6464979.0,6566073.0,6664195.0,6744496.0,302617.0,339089.0,388833.0,441186.0,497160.0,530809.0,537645.0,536333.0,581001.0,761220.0,956004.0,244468.0,271996.0,329667.0,409407.0,473848.0,550224.0,600369.0,600647.715,680799.184,1046740.87,1386585.984,567575.0,736907.0,722589.0,890251.0
WV,1808344.0,1798582.0,1799411.0,1802238.0,1803302.0,1803920.0,1807237.0,1811198.0,1814873.0,1819777.0,1853973.0,219524.0,230384.0,243895.0,254738.0,260746.0,267021.0,268447.0,269343.0,276800.0,305960.0,341156.0,181552.0,181596.0,200104.0,219928.0,238394.0,260567.0,267270.0,274884.537,304122.744,408456.434,486939.521,273986.0,310842.0,302169.0,327459.0
WI,5363675.0,5408769.0,5446766.0,5476796.0,5511385.0,5541443.0,5571680.0,5601571.0,5627610.0,5654774.0,5691047.0,208085.0,251868.0,287587.0,319782.0,339364.0,363183.0,378291.0,382770.0,422781.0,547878.0,715213.0,133123.0,162884.0,202154.0,241247.0,279916.0,323347.0,349627.0,363438.137,430028.455,679971.117,1000496.07,430657.0,589377.0,589168.0,731564.0
WY,493782.0,492982.0,497069.0,499189.0,502988.0,506242.0,512841.0,523414.0,532981.0,544270.0,564460.0,22523.0,22954.0,25036.0,25703.0,25632.0,24592.0,22855.0,22608.0,22608.0,26762.0,34799.0,18797.0,19508.0,21938.0,24399.0,25566.0,26903.0,25790.0,25284.892,26389.959,37074.837,51674.879,50357.0,51728.0,48149.0,62636.0
